version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	global_stock_type	sub_stock_type	sell_promise	item_size	item_weight
宝贝名称	宝贝类目	店铺类目	新旧程度	省	城市	出售方式	宝贝价格	加价幅度	宝贝数量	有效期	运费承担	平邮	EMS	快递	发票	保修	放入仓库	橱窗推荐	开始时间	宝贝描述	宝贝属性	邮费模版ID	会员打折	修改时间	上传状态	图片状态	返点比例	新图片	视频	销售属性组合	用户输入ID串	用户输入名-值对	商家编码	销售属性别名	代充类型	数字ID	本地ID	宝贝分类	账户名称	宝贝状态	闪电发货	新品	食品专项	尺码库	库存类型	库存计数	退换货承诺	物流体积	物流重量
"91币10元/魔域/官方秒充/JYT自动充值/可倍数提交"	50007913	""	1	"上海"	"上海"	1	9.3	""	1000	7	1	0	0	0	0	1	1	0	""	"<FONT color=#000000 size=4 face=幼圆><STRONG><P><FONT color=#000000 size=4 face=幼圆><STRONG>91币10元/魔域/官方秒充/JYT自动充值/可倍数提交</STRONG></FONT></P><P>充值的是91币，请登录91官方网站换取游戏点卡</P><P></STRONG></FONT><FONT size=4 face=幼圆><STRONG>充值说明:</STRONG></FONT></P><P><FONT size=4 face=幼圆><STRONG>1.此宝贝为全自动<FONT color=#ff0000>官方秒充</FONT>产品，您只要在<FONT color=#ff0000>订单里填好账号</FONT>，付款后，系统会自动充值，<FONT color=#ff0000>秒充到账</FONT>！</STRONG></FONT></P><P><FONT size=4 face=幼圆><STRONG>2.购买时请您<FONT color=#ff0000>正确填写区服与帐号</FONT>，充错无法更改，请您注意！责任将由您承担！</STRONG></FONT></P><P><STRONG><FONT size=4 face=幼圆>3.充值成功后请登录游戏查询</FONT></STRONG></P><P><STRONG><FONT size=4 face=幼圆><STRONG>4.此商品为直充商品，只要旺旺在线就能充值，无须联系。若店主不在线时购买的，需等店主上线后才能为您充值。</STRONG></FONT></P><P><FONT size=4 face=幼圆>5.请您收到充值后及时确认和以及好评，以便店家的回拢资金，谢谢！</FONT></P></STRONG><P><FONT color=#ff0000 size=4 face=幼圆><STRONG>本店产品均为官方在线系统进行充值，正规安全，不存在充值后有不安全的隐患，请放心购买,祝您购物愉快！</STRONG></FONT></P>"	"20435:27530;33135:99654"	0	0	""	"100"	"2;"	0	"29ad6e356c9943c1e121ea5ca69f6ec6:1:0:|;"	""	""	"2370913"	"91币;运营商;91"	"91B-10/MY"	""	2	0	0	1	捷贝供货	2	0	0			1728424528	0	0		
"世纪天成按元充/冲锋岛/官方秒充/JYT自动充值"	50007477	""	1	"上海"	"上海"	1	0.98	""	1000	7	1	0	0	0	0	1	1	1	""	"<P><FONT color=#ff0000 size=4 face=幼圆><STRONG>可以充跑跑卡丁车/洛奇/哼哼哈嘿/反恐精英/冲锋岛</STRONG></FONT></P><P><FONT size=4 face=幼圆><STRONG>充值说明:</STRONG></FONT></P><P><FONT size=4 face=幼圆><STRONG>1.此宝贝为全自动<FONT color=#ff0000>官方秒充</FONT>产品，您只要在<FONT color=#ff0000>订单里填好账号</FONT>，付款后，系统会自动充值，<FONT color=#ff0000>秒充到账</FONT>！</STRONG></FONT></P><P><FONT size=4 face=幼圆><STRONG>2.购买时请您<FONT color=#ff0000>正确填写区服与帐号</FONT>，充错无法更改，请您注意！责任将由您承担！</STRONG></FONT></P><P><STRONG><FONT size=4 face=幼圆>3.充值成功后查询网址:<A>http://passport.tiancity.com/login/login.aspx</A></FONT></STRONG><STRONG></STRONG></P><P><FONT size=4 face=幼圆><STRONG>4.此商品为直充商品，只要旺旺在线就能充值，无须联系。若店主不在线时购买的，需等店主上线后才能为您充值。</STRONG></FONT></P><P><FONT size=4 face=幼圆>5.请您收到充值后及时确认和以及好评，以便店家的回拢资金，谢谢！</FONT></P><P><FONT color=#ff0000 size=4 face=幼圆><STRONG>本店产品均为官方在线系统进行充值，正规安全，不存在充值后有不安全的隐患，请放心购买,祝您购物愉快！</STRONG></FONT></P>"	"20435:27530;33135:99654;2516432:53515"	0	0	""	"100"	"2;"	0	"473afec1dec918adc6a29ede9f7fe970:1:0:|;"	""	""	""	""	"SJTC-1/CFD"	""	2	0	0	1	捷贝供货	2	0	0			1728424528	0	0		
"世纪天成按元充/反恐精英/官方秒充/JYT自动充值"	50007433	""	1	"上海"	"上海"	1	0.98	""	1000	7	1	0	0	0	0	1	1	1	""	"<P><FONT color=#ff0000 size=4 face=幼圆><STRONG>可以充跑跑卡丁车/洛奇/哼哼哈嘿/反恐精英/冲锋岛</STRONG></FONT></P><P><FONT size=4 face=幼圆><STRONG>充值说明:</STRONG></FONT></P><P><FONT size=4 face=幼圆><STRONG>1.此宝贝为全自动<FONT color=#ff0000>官方秒充</FONT>产品，您只要在<FONT color=#ff0000>订单里填好账号</FONT>，付款后，系统会自动充值，<FONT color=#ff0000>秒充到账</FONT>！</STRONG></FONT></P><P><FONT size=4 face=幼圆><STRONG>2.购买时请您<FONT color=#ff0000>正确填写区服与帐号</FONT>，充错无法更改，请您注意！责任将由您承担！</STRONG></FONT></P><P><STRONG><FONT size=4 face=幼圆>3.充值成功后查询网址:<A>http://passport.tiancity.com/login/login.aspx</A></FONT></STRONG><STRONG></STRONG></P><P><FONT size=4 face=幼圆><STRONG>4.此商品为直充商品，只要旺旺在线就能充值，无须联系。若店主不在线时购买的，需等店主上线后才能为您充值。</STRONG></FONT></P><P><FONT size=4 face=幼圆>5.请您收到充值后及时确认和以及好评，以便店家的回拢资金，谢谢！</FONT></P><P><FONT color=#ff0000 size=4 face=幼圆><STRONG>本店产品均为官方在线系统进行充值，正规安全，不存在充值后有不安全的隐患，请放心购买,祝您购物愉快！</STRONG></FONT></P>"	"20435:27530;33135:99654;2516466:53515"	0	0	""	"100"	"2;"	0	"e7f386e8b820209b238974a3bdf4c1ce:1:0:|;"	""	""	""	""	"SJTC-1/FKJY"	""	2	0	0	1	捷贝供货	2	0	0			1728424528	0	0		
"世纪天成按元充/跑跑卡丁车/官方秒充/JYT自动充值"	50007437	""	1	"上海"	"上海"	1	0.98	""	7313	7	1	0	0	0	0	1	1	1	""	"<P><FONT color=#ff0000 size=4 face=幼圆><STRONG>可以充跑跑卡丁车/洛奇/哼哼哈嘿/反恐精英/冲锋岛</STRONG></FONT></P><P><FONT size=4 face=幼圆><STRONG>充值说明:</STRONG></FONT></P><P><FONT size=4 face=幼圆><STRONG>1.此宝贝为全自动<FONT color=#ff0000>官方秒充</FONT>产品，您只要在<FONT color=#ff0000>订单里填好账号</FONT>，付款后，系统会自动充值，<FONT color=#ff0000>秒充到账</FONT>！</STRONG></FONT></P><P><FONT size=4 face=幼圆><STRONG>2.购买时请您<FONT color=#ff0000>正确填写区服与帐号</FONT>，充错无法更改，请您注意！责任将由您承担！</STRONG></FONT></P><P><STRONG><FONT size=4 face=幼圆>3.充值成功后查询网址:<A>http://passport.tiancity.com/login/login.aspx</A></FONT></STRONG><STRONG></STRONG></P><FONT size=4 face=幼圆><STRONG><P><FONT size=4 face=幼圆><STRONG><FONT size=4 face=幼圆><STRONG><FONT size=4 face=幼圆><FONT size=4 face=幼圆><STRONG>4.此商品为直充商品，请联系掌柜咨询以后再购买，若店主不在线时购买的，需等店主上线后才能为您充值。</STRONG></FONT></P><P><FONT size=4 face=幼圆><STRONG>5.请您收到充值后及时确认和以及好评，以便店家的回拢资金，谢谢！</STRONG></FONT></P><P></FONT></P><P></STRONG></FONT></P><P></P><P></STRONG></FONT></P><P></STRONG></FONT><FONT color=#ff0000 size=4 face=幼圆><STRONG>本店产品均为官方在线系统进行充值，正规安全，不存在充值后有不安全的隐患，请放心购买,祝您购物愉快！</STRONG></FONT></P>"	"20435:27530;26001:52982;33135:99654"	0	0	""	"100"	"2;"	0	"4403e0a2f87ca241c1c60a597aa176be:1:0:|;"	""	""	""	""	"SJTC-1/PPKDC"	""	2	0	0	1	捷贝供货	2	0	0			1728424528	0	0		
"久游休闲卡10元/GT劲舞团2/官方秒充/JYT自动充值"	50007445	""	1	"上海"	"上海"	1	9.2	""	1000	7	1	0	0	0	0	1	1	0	""	"<P><FONT color=#000000 size=4 face=幼圆><STRONG>久游休闲卡10元/GT劲舞团2/官方秒充/JYT自动充值</STRONG></FONT></P><P><FONT size=4 face=幼圆><STRONG>充值说明:</STRONG></FONT></P><P><FONT size=4 face=幼圆><STRONG>1.此宝贝为全自动<FONT color=#ff0000>官方秒充</FONT>产品，您只要在<FONT color=#ff0000>订单里填好账号</FONT>，付款后，系统会自动充值，<FONT color=#ff0000>秒充到账</FONT>！</STRONG></FONT></P><P><FONT size=4 face=幼圆><STRONG>2.购买时请您<FONT color=#ff0000>正确填写区服与帐号</FONT>，充错无法更改，请您注意！责任将由您承担！</STRONG></FONT></P><P><STRONG><FONT size=4 face=幼圆>3.充值成功后请登录游戏查询</FONT></STRONG></P><P><STRONG><FONT size=4 face=幼圆><STRONG>4.此商品为直充商品，只要旺旺在线就能充值，无须联系。若店主不在线时购买的，需等店主上线后才能为您充值。</STRONG></FONT></P><P><FONT size=4 face=幼圆>5.请您收到充值后及时确认和以及好评，以便店家的回拢资金，谢谢！</FONT></P></STRONG><P><FONT color=#ff0000 size=4 face=幼圆><STRONG>本店产品均为官方在线系统进行充值，正规安全，不存在充值后有不安全的隐患，请放心购买,祝您购物愉快！</STRONG></FONT></P>"	"2723576:30676;20435:27530;33135:99654;"	0	0	""	"100"	"2;"	0	"b484a8a3ef0ce0018ae1fd22ad11aa4b:1:0:|;"	""	""	""	""	"JYXXK-10/GTJWT2"	""	2	0	0	1	捷贝供货	2	0	0			1728424528	0	0		
"久游休闲卡10元/仙剑OL/官方秒充/电脑充值/ "	50007599	""	1	"上海"	"上海"	1	9.2	""	1000	7	1	0	0	0	0	1	1	1	""	"<P><FONT color=#ff0000 size=4 face=幼圆><STRONG>可以充劲舞团/仙剑OL/超级舞者/光线飞车/SD敢达</STRONG></FONT></P><P><STRONG><FONT color=#ff0000 size=4 face=幼圆>请您注意:此宝贝一次提交数量限制1-10件！一次购买请勿超过限制，否则将无法正常为您充值，耽误您的使用！</FONT></STRONG></P><P><FONT size=4 face=幼圆><STRONG>充值说明:</STRONG></FONT></P><P><FONT size=4 face=幼圆><STRONG>1.此宝贝为全自动<FONT color=#ff0000>官方秒充</FONT>产品，您只要在<FONT color=#ff0000>订单里填好账号</FONT>，付款后，系统会自动充值，<FONT color=#ff0000>秒充到账</FONT>！</STRONG></FONT></P><P><FONT size=4 face=幼圆><STRONG>2.购买时请您<FONT color=#ff0000>正确填写区服与帐号</FONT>，充错无法更改，请您注意！责任将由您承担！</STRONG></FONT></P><P><STRONG><FONT size=4 face=幼圆>3.充值成功后查询网址:<A>https://login.passport.9you.com/</A></FONT></STRONG><STRONG></STRONG></P><P><FONT size=4 face=幼圆><STRONG>4.此商品为直充商品，只要旺旺在线就能充值，无须联系。若店主不在线时购买的，需等店主上线后才能为您充值。</STRONG></FONT></P><P><FONT size=4 face=幼圆>5.请您收到充值后及时确认和以及好评，以便店家的回拢资金，谢谢！</FONT></P><P><FONT color=#ff0000 size=4 face=幼圆><STRONG>本店产品均为官方在线系统进行充值，正规安全，不存在充值后有不安全的隐患，请放心购买,祝您购物愉快！</STRONG></FONT></P>"	"1627151:30676;20435:27530;33135:99654;"	0	0	""	"100"	"2;"	0	"d39202cdc4a3a9cfee58021d9b878afb:1:0:|;"	""	""	""	""	"JYXXK-10/XJ"	""	2	0	0	1	捷贝供货	2	0	0			1728424528	0	0		
"久游休闲卡10元/劲舞团/官方秒充/电脑充值/ "	50007435	""	1	"上海"	"上海"	1	9.2	""	975	7	1	0	0	0	0	1	1	0	""	"<P><FONT color=#ff0000 size=4 face=幼圆><STRONG>可以充劲舞团/仙剑OL/超级舞者/光线飞车/SD敢达</STRONG></FONT></P><P><STRONG><FONT color=#ff0000 size=4 face=幼圆>请您注意:此宝贝一次提交数量限制1-10件！一次购买请勿超过限制，否则将无法正常为您充值，耽误您的使用！</FONT></STRONG></P><P><FONT size=4 face=幼圆><STRONG>充值说明:</STRONG></FONT></P><P><FONT size=4 face=幼圆><STRONG>1.此宝贝为全自动<FONT color=#ff0000>官方秒充</FONT>产品，您只要在<FONT color=#ff0000>订单里填好账号</FONT>，付款后，系统会自动充值，<FONT color=#ff0000>秒充到账</FONT>！</STRONG></FONT></P><P><FONT size=4 face=幼圆><STRONG>2.购买时请您<FONT color=#ff0000>正确填写区服与帐号</FONT>，充错无法更改，请您注意！责任将由您承担！</STRONG></FONT></P><P><STRONG><FONT size=4 face=幼圆>3.充值成功后查询网址:<A>https://login.passport.9you.com/</A></FONT></STRONG><STRONG></STRONG></P><P><FONT size=4 face=幼圆><STRONG>4.此商品为直充商品，只要旺旺在线就能充值，无须联系。若店主不在线时购买的，需等店主上线后才能为您充值。</STRONG></FONT></P><P><FONT size=4 face=幼圆>5.请您收到充值后及时确认和以及好评，以便店家的回拢资金，谢谢！</FONT></P><P><FONT color=#ff0000 size=4 face=幼圆><STRONG>本店产品均为官方在线系统进行充值，正规安全，不存在充值后有不安全的隐患，请放心购买,祝您购物愉快！</STRONG></FONT></P>"	"26047:53016;20435:27530;33135:99654;"	0	0	""	"100"	"2;"	0	"692d7d01c28b397c11b77cc0cddbbc9e:1:0:|;"	""	""	""	""	"JYXXK-10/JWT"	""	2	0	0	1	捷贝供货	2	0	0			1728424528	0	0		
"久游休闲卡10元/超级舞者/官方秒充/电脑充值/ "	50007416	""	1	"上海"	"上海"	1	9.2	""	1000	7	1	0	0	0	0	1	1	1	""	"<P><FONT color=#ff0000 size=4 face=幼圆><STRONG>可以充劲舞团/仙剑OL/超级舞者/光线飞车/SD敢达</STRONG></FONT></P><P><STRONG><FONT color=#ff0000 size=4 face=幼圆>请您注意:此宝贝一次提交数量限制1-10件！一次购买请勿超过限制，否则将无法正常为您充值，耽误您的使用！</FONT></STRONG></P><P><FONT size=4 face=幼圆><STRONG>充值说明:</STRONG></FONT></P><P><FONT size=4 face=幼圆><STRONG>1.此宝贝为全自动<FONT color=#ff0000>官方秒充</FONT>产品，您只要在<FONT color=#ff0000>订单里填好账号</FONT>，付款后，系统会自动充值，<FONT color=#ff0000>秒充到账</FONT>！</STRONG></FONT></P><P><FONT size=4 face=幼圆><STRONG>2.购买时请您<FONT color=#ff0000>正确填写区服与帐号</FONT>，充错无法更改，请您注意！责任将由您承担！</STRONG></FONT></P><P><STRONG><FONT size=4 face=幼圆>3.充值成功后查询网址:<A>https://login.passport.9you.com/</A></FONT></STRONG><STRONG></STRONG></P><P><FONT size=4 face=幼圆><STRONG>4.此商品为直充商品，只要旺旺在线就能充值，无须联系。若店主不在线时购买的，需等店主上线后才能为您充值。</STRONG></FONT></P><P><FONT size=4 face=幼圆>5.请您收到充值后及时确认和以及好评，以便店家的回拢资金，谢谢！</FONT></P><P><FONT color=#ff0000 size=4 face=幼圆><STRONG>本店产品均为官方在线系统进行充值，正规安全，不存在充值后有不安全的隐患，请放心购买,祝您购物愉快！</STRONG></FONT></P>"	"25610:53016;20435:27530;33135:99654;"	0	0	""	"100"	"2;"	0	"862bd49ea2d36c7713ddc283e9153b99:1:0:|;"	""	""	""	""	"JYXXK-10/CJWZ"	""	2	0	0	1	捷贝供货	2	0	0			1728424528	0	0		
"久游休闲卡30元/GT劲舞团2/官方秒充/JYT自动充值"	50007445	""	1	"上海"	"上海"	1	27.5	""	1000	7	1	0	0	0	0	1	1	0	""	"<P><FONT color=#000000 size=4 face=幼圆><STRONG>久游休闲卡10元/GT劲舞团2/官方秒充/JYT自动充值/可倍数提交</STRONG></FONT></P><P><FONT size=4 face=幼圆><STRONG>充值说明:</STRONG></FONT></P><P><FONT size=4 face=幼圆><STRONG>1.此宝贝为全自动<FONT color=#ff0000>官方秒充</FONT>产品，您只要在<FONT color=#ff0000>订单里填好账号</FONT>，付款后，系统会自动充值，<FONT color=#ff0000>秒充到账</FONT>！</STRONG></FONT></P><P><FONT size=4 face=幼圆><STRONG>2.购买时请您<FONT color=#ff0000>正确填写区服与帐号</FONT>，充错无法更改，请您注意！责任将由您承担！</STRONG></FONT></P><P><STRONG><FONT size=4 face=幼圆>3.充值成功后请登录游戏查询</FONT></STRONG></P><P><STRONG><FONT size=4 face=幼圆><STRONG>4.此商品为直充商品，只要旺旺在线就能充值，无须联系。若店主不在线时购买的，需等店主上线后才能为您充值。</STRONG></FONT></P><P><FONT size=4 face=幼圆>5.请您收到充值后及时确认和以及好评，以便店家的回拢资金，谢谢！</FONT></P></STRONG><P><FONT color=#ff0000 size=4 face=幼圆><STRONG>本店产品均为官方在线系统进行充值，正规安全，不存在充值后有不安全的隐患，请放心购买,祝您购物愉快！</STRONG></FONT></P>"	"2723576:30688;20435:27530;33135:99654;"	0	0	""	"100"	"2;"	0	"a54b4046a17710ee3791edea60c51921:1:0:|;"	""	""	""	""	"JYXXK-30/GTJWT2"	""	2	0	0	1	捷贝供货	2	0	0			1728424528	0	0		
